#{"t_start": 1745259507.7428339, "env_id": "None"}
r,l,t,user_id
6.294304,31,237.550153,1
5.523637,25,237.843994,1
6.55779,50,238.400819,1
10.206907,50,238.989942,1
3.126529,19,239.221782,1
2.674079,22,239.476367,1
2.874373,17,239.671565,1
5.115435,28,240.009997,1
9.063529,45,240.608603,1
8.202055,50,241.191578,1
2.997186,12,241.341695,1
9.308748,42,241.815158,1
7.464189,37,242.217672,1
8.095241,33,242.577571,1
9.736786,50,243.143006,1
8.282927,50,243.699243,1
2.845246,12,243.841853,1
5.486566,32,244.198965,1
8.755148,50,244.751779,1
6.613724,38,254.382257,1
12.196958,49,255.037463,1
9.445325,50,255.642108,1
12.583026,50,256.276543,1
11.786049,50,257.035891,1
10.126679,50,257.621636,1
5.569599,36,258.042927,1
11.696677,50,258.617468,1
4.83191,23,258.895006,1
3.461263,13,259.053566,1
5.455919,27,259.362564,1
11.562187,50,259.933665,1
9.765919,45,260.468718,1
5.501558,31,260.829826,1
9.711532,50,261.396975,1
12.759244,50,262.024216,1
2.386309,12,262.179217,1
8.945625,50,262.783316,1
6.179822,25,263.108617,1
9.731817,50,263.671256,1
8.706443,45,264.175349,1
8.437402,50,264.789744,1
5.803979,26,265.173487,1
2.615681,5,265.253825,1
4.535729,31,265.615783,1
6.841774,28,265.936963,1
2.884552,13,266.100018,1
4.127681,28,266.475301,1
4.02356,20,266.721608,1
13.862762,50,267.382366,1
8.163895,50,268.044238,1
4.471577,21,268.294116,1
5.128322,19,268.518004,1
3.667964,16,268.729666,1
2.702507,22,269.013696,1
4.886931,12,269.171697,1
8.636048,42,269.668631,1
6.62961,39,270.13775,1
10.716312,44,270.651772,1
9.059874,39,271.085849,1
4.803748,29,271.498935,1
7.974375,50,272.148533,1
8.363201,50,272.804821,1
3.739825,50,273.489268,1
7.770757,33,273.885337,1
9.637173,50,274.508701,1
5.181849,30,274.918893,1
10.679101,50,275.543596,1
10.577001,48,276.100467,1
7.760983,50,276.701982,1
2.470008,11,276.857079,1
4.520419,22,277.119236,1
10.765793,38,277.569422,1
5.917586,50,278.164264,1
5.536413,26,278.488154,1
10.343081,50,279.099849,1
5.752065,41,287.272698,1
3.42789,13,287.43616,1
5.813442,24,287.724914,1
3.635879,21,287.993842,1
14.042692,50,288.573097,1
6.443932,46,289.102089,1
4.516493,28,289.429113,1
6.255667,34,289.827471,1
2.831216,14,289.99999,1
3.363451,30,290.34915,1
10.900454,50,290.915664,1
10.072566,50,291.502209,1
3.549258,25,291.789644,1
2.083052,9,291.896458,1
12.136617,50,292.477828,1
11.143035,49,293.040324,1
10.400018,50,293.642612,1
6.801074,50,294.240246,1
10.118887,50,294.852995,1
12.419737,50,295.485188,1
6.283081,50,296.066654,1
6.949522,29,296.416598,1
5.675504,39,296.901745,1
6.711013,46,297.442321,1
8.408636,50,298.016968,1
2.374095,8,298.122436,1
7.202927,50,298.694082,1
8.615382,50,299.300187,1
8.937068,35,299.716582,1
5.667839,40,300.167204,1
5.833666,25,300.463519,1
8.572286,50,301.042179,1
12.969806,50,301.61801,1
3.604954,14,301.791845,1
2.777085,18,302.004739,1
7.365217,39,302.448304,1
3.144373,16,302.645072,1
6.901341,32,303.014778,1
9.497964,50,303.593092,1
6.90615,50,304.175996,1
3.876389,31,304.541487,1
2.926588,14,304.708115,1
6.314253,35,305.132458,1
10.495201,43,305.612061,1
5.891621,49,306.1871,1
4.322347,21,306.443014,1
3.629994,16,306.636029,1
8.142095,41,307.10711,1
6.549183,22,307.368615,1
5.46267,21,307.619709,1
8.966086,47,308.182201,1
5.379813,29,308.507276,1
7.075816,23,308.783975,1
7.604078,33,309.171613,1
9.582486,50,309.748398,1
9.754175,50,310.360251,1
4.854148,13,310.517803,1
7.148042,34,310.983797,1
3.816728,27,318.886615,1
7.571619,50,319.469718,1
5.991204,50,320.079228,1
6.738024,50,320.686224,1
10.558105,50,321.283795,1
7.24638,34,321.689688,1
10.575472,44,322.1986,1
9.192335,50,322.816946,1
12.941538,50,323.401916,1
8.479134,44,323.940653,1
12.261865,50,324.520741,1
2.247494,19,324.740123,1
5.313695,41,325.226888,1
6.491865,36,325.660497,1
8.683931,42,326.158285,1
4.377135,35,326.569124,1
6.330743,37,327.024306,1
10.633532,50,327.600212,1
7.733936,24,327.910512,1
9.2504,50,328.592544,1
4.034242,25,328.990699,1
6.361278,37,329.468299,1
8.348318,50,330.073107,1
9.511646,50,330.659072,1
8.55228,40,331.11087,1
8.70523,50,331.6933,1
7.29729,41,332.165371,1
3.539745,31,332.518136,1
9.943146,50,333.092989,1
7.806731,50,333.66514,1
3.159341,22,333.946136,1
10.691244,50,334.513756,1
8.951428,50,335.090288,1
10.729671,50,335.694054,1
12.403057,50,336.306028,1
13.175796,50,336.929184,1
5.419167,25,337.218637,1
6.744516,50,337.993695,1
10.60904,50,338.575187,1
9.7787,36,338.994005,1
4.37368,14,339.157647,1
